Number,Name,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
1,Louvre,48.8625627018,2.33644336205,Musée du Louvre,48.86084691113991,2.336440086364746,Art Museum
1,Louvre,48.8625627018,2.33644336205,Palais Royal,48.86323576771446,2.3371267318725586,Historic Site
1,Louvre,48.8625627018,2.33644336205,Comédie-Française,48.863087901186134,2.336611747741699,Theater
1,Louvre,48.8625627018,2.33644336205,Cour Napoléon,48.86117159622847,2.3350882530212402,Plaza
1,Louvre,48.8625627018,2.33644336205,Place du Palais Royal,48.862523381679345,2.336687635654229,Plaza
1,Louvre,48.8625627018,2.33644336205,La Clef Louvre Paris  ,48.86397721115658,2.336139678955078,Hotel
1,Louvre,48.8625627018,2.33644336205,LouLou,48.86280381272633,2.333500385284424,Italian Restaurant
1,Louvre,48.8625627018,2.33644336205,Grand Hôtel du Palais Royal,48.86318291896972,2.3379009305339022,Hotel
1,Louvre,48.8625627018,2.33644336205,Vestige de la Forteresse du Louvre,48.86157701632968,2.3335077597365377,Historic Site
1,Louvre,48.8625627018,2.33644336205,Place Colette,48.86314532311905,2.3359428401856035,Plaza
1,Louvre,48.8625627018,2.33644336205,Les Arts Décoratifs,48.863077314067475,2.333393096923828,Art Museum
1,Louvre,48.8625627018,2.33644336205,Café Kitsuné,48.863982504620985,2.335793673992157,Coffee Shop
1,Louvre,48.8625627018,2.33644336205,Carrousel du Louvre,48.861641527291056,2.3342170930602695,Shopping Mall
1,Louvre,48.8625627018,2.33644336205,Jardin du Palais Royal,48.86494061245833,2.3377275466918945,Garden
1,Louvre,48.8625627018,2.33644336205,Cour Carrée du Louvre,48.8603598795578,2.3385429382324214,Pedestrian Plaza
1,Louvre,48.8625627018,2.33644336205,Cafés Verlet,48.86408827729653,2.33387790620327,Café
1,Louvre,48.8625627018,2.33644336205,Le Café Marly,48.8617397900653,2.335646152496338,Café
1,Louvre,48.8625627018,2.33644336205,Kosyuen 華修園,48.864163247442406,2.3335674783429994,Tea Room
1,Louvre,48.8625627018,2.33644336205,La Vénus de Milo (Vénus de Milo),48.859943428504316,2.3372340202331543,Exhibit
1,Louvre,48.8625627018,2.33644336205,Aesop,48.86415807641022,2.3336009265391215,Cosmetics Shop
1,Louvre,48.8625627018,2.33644336205,Astier de Villatte,48.86409488281954,2.33380824705502,Furniture / Home Store
1,Louvre,48.8625627018,2.33644336205,Sanukiya,48.86471330060748,2.333805151283741,Udon Restaurant
1,Louvre,48.8625627018,2.33644336205,Café Ruc,48.863148225663146,2.3352277278900146,Coffee Shop
1,Louvre,48.8625627018,2.33644336205,모나리자 / 라 조콘다 (Mona Lisa | La Joconde),48.86013915274212,2.3353367567879104,Exhibit
1,Louvre,48.8625627018,2.33644336205,Le Labo Paris,48.86385890056086,2.333757938686111,Perfume Shop
1,Louvre,48.8625627018,2.33644336205,Thémaé,48.8635893167855,2.339755524069546,Spa
1,Louvre,48.8625627018,2.33644336205,Jardins du Carrousel (Jardin du Carrousel),48.86205640499456,2.3324446522511044,Garden
1,Louvre,48.8625627018,2.33644336205,Christian Louboutin,48.86269669087095,2.3407570303733496,Shoe Store
1,Louvre,48.8625627018,2.33644336205,Nodaiwa,48.86435425075339,2.3331572600591257,Japanese Restaurant
1,Louvre,48.8625627018,2.33644336205,Ellsworth,48.865527916411786,2.337056774451994,French Restaurant
1,Louvre,48.8625627018,2.33644336205,Nolinski,48.8653672585173,2.334584093466682,Hotel
1,Louvre,48.8625627018,2.33644336205,Place des Pyramides,48.863924276481605,2.332223653793335,Plaza
1,Louvre,48.8625627018,2.33644336205,Fromagerie Danard,48.86329738243539,2.340948006009366,Cheese Shop
1,Louvre,48.8625627018,2.33644336205,Le Pot de Vins,48.86432169778438,2.3401925360185167,Restaurant
1,Louvre,48.8625627018,2.33644336205,Café Kitsuné,48.86543988887562,2.3375840216232477,Café
1,Louvre,48.8625627018,2.33644336205,"Pavillon des Sessions – Arts d'Afrique, d'Asie, d'Océanie et des Amériques",48.860724043718605,2.332121414307368,Art Museum
1,Louvre,48.8625627018,2.33644336205,Udon Bistro Kunitoraya (Kunitoraya),48.865884035205355,2.336782068014145,Udon Restaurant
1,Louvre,48.8625627018,2.33644336205,Hôtel Regina,48.86369757864818,2.332413997514548,Hotel
1,Louvre,48.8625627018,2.33644336205,Rick Owens,48.865193447990556,2.338485269139365,Boutique
1,Louvre,48.8625627018,2.33644336205,La Rotonde St. Honoré,48.86458252806462,2.3327020437479082,French Restaurant
1,Louvre,48.8625627018,2.33644336205,Théâtre du Palais-Royal,48.86600524368278,2.3376850883287545,Theater
1,Louvre,48.8625627018,2.33644336205,Restaurant Kunitoraya,48.86611572520175,2.3364669084548946,Japanese Restaurant
1,Louvre,48.8625627018,2.33644336205,Caffe dei Fratelli,48.86482618471146,2.333112135529518,Italian Restaurant
1,Louvre,48.8625627018,2.33644336205,JanTchi,48.86600128752999,2.335976674778051,Korean Restaurant
1,Louvre,48.8625627018,2.33644336205,Hôtel Le Pradey,48.86445923930909,2.33165399481692,Hotel
1,Louvre,48.8625627018,2.33644336205,La Régalade Saint-Honoré,48.861619829461404,2.3417487166534374,French Restaurant
1,Louvre,48.8625627018,2.33644336205,Les Fines Gueules,48.865171886388225,2.340644784271717,French Restaurant
1,Louvre,48.8625627018,2.33644336205,Le Fumoir,48.86042428799186,2.3408684134483337,Cocktail Bar
1,Louvre,48.8625627018,2.33644336205,Le Louis,48.864330749172225,2.341332062576144,French Restaurant
1,Louvre,48.8625627018,2.33644336205,Verjus Bar à Vins,48.86630556463485,2.3374713957309723,Wine Bar
1,Louvre,48.8625627018,2.33644336205,Sébastien Gaudard,48.863873421522705,2.3322372820182418,Dessert Shop
1,Louvre,48.8625627018,2.33644336205,Boulangerie Aki,48.86621097624905,2.335457623784485,Bakery
1,Louvre,48.8625627018,2.33644336205,Télescope,48.86614042697531,2.3363059759140015,Coffee Shop
1,Louvre,48.8625627018,2.33644336205,Place du Louvre,48.859841,2.340822,Plaza
1,Louvre,48.8625627018,2.33644336205,K-mart,48.865371417068246,2.335009233295977,Grocery Store
1,Louvre,48.8625627018,2.33644336205,Le Grand Véfour,48.86613492,2.33793892,French Restaurant
1,Louvre,48.8625627018,2.33644336205,Le Carrousel,48.86373714830081,2.3320993434973705,French Restaurant
1,Louvre,48.8625627018,2.33644336205,Verjus,48.86639803045864,2.3373547196388245,French Restaurant
1,Louvre,48.8625627018,2.33644336205,Pont des Arts,48.85856468168776,2.3376350104808807,Bridge
1,Louvre,48.8625627018,2.33644336205,On the Bab,48.86641655668545,2.335109710693359,Korean Restaurant
1,Louvre,48.8625627018,2.33644336205,Chang,48.86593046151141,2.3339590430259705,Thai Restaurant
1,Louvre,48.8625627018,2.33644336205,Le Salon du Fromage Hisada,48.86624879517917,2.3371863375908837,Cheese Shop
1,Louvre,48.8625627018,2.33644336205,Legrand Filles et Fils,48.866260970474386,2.3395365694081507,Wine Shop
1,Louvre,48.8625627018,2.33644336205,Ebis,48.86537548985992,2.332309837176929,Japanese Restaurant
1,Louvre,48.8625627018,2.33644336205,Bistrot Victoires,48.86552339307843,2.3403647694601255,Bistro
